hostname,os,scope,type,ip,nat,datastore
ELORN,Windows 2012 R2 x64 STD,UO,V,10.1.32.178,15.1.53.195,GRABELS G2
ESGUEVA,Windows 2016 STD,HUO,V,10.0.32.210,,
FIGARELLA,Red Hat Enterprise 5.11,UO,V,10.0.32.56,15.1.70.69,MOP B4
FIUMORBO,Red Hat Enterprise 5.11,HUO,V,10.2.32.47,15.1.53.190,MOP B4
FRAILES,Red Hat Enterprise 6.9,UO,V,10.0.32.55,15.1.70.187,MOP B4
FRASER,Windows 2008 R2 x64 STD,UO,V,10.0.32.61,15.1.53.22,GRABELS G2
frmpqih001mpcrm,Red Hat Enterprise 6.8,infra IBM,V,10.0.44.232,15.1.70.249,MOP B4
frmpqih002mpcrm,Red Hat Enterprise 6.8,infra IBM,V,10.0.44.233,15.1.70.250,MOP B4
frmpqiw001mpcwm,Windows 2012 x64,infra IBM,V,10.0.44.234,15.1.70.251,MOP B4
frmpqiw002mpcwm,Windows 2012 x64,infra IBM,V,10.0.44.235,15.1.70.252,MOP B4
GARONNE,Red Hat Enterprise 5.5,UO,P,10.1.32.12,15.1.70.131,B49A08D04U29
GERENBACH,Red Hat Enterprise 7,UO,V,10.0.32.97,15.1.70.40,MOP B4
GOMATI,Windows 2012 R2 x64 STD,HUO,V,10.2.32.134,15.1.53.186,MOP B4
GUADALFEO,Windows 2008 R2 x64 STD,HUO,V,10.2.32.27,15.1.70.228,GRABELS G2
GUADALIMAR,Red Hat Enterprise 5.11,UO,V,10.1.32.101,15.1.70.70,GRABELS G2
GUADALOPE,Windows 2012 R2 x64 STD,UO,P,10.0.32.31,15.1.70.217,G11A11D09U07
GUADALQUIVIR,Red Hat Enterprise 7,UO,V,10.1.32.42,15.1.70.13,GRABELS G2
GUADARRAMA,Windows 2008 R2 x64 STD,UO,V,10.1.32.116,15.1.53.81,GRABELS G2
GUNICA,Windows 2008 R2 x64 STD,HUO,V,10.0.32.120,,GRABELS G2
HALALI,Red Hat Enterprise 7,HUO,V,10.2.32.80,15.1.70.7,GRABELS G2
HAMIZ,Red Hat Enterprise 6.8,UO,V,10.0.32.71,15.1.70.125,GRABELS G2
HAYES,Windows 2008 R2 x64 STD,UO,V,10.0.32.180,15.1.70.80,GRABELS G2
HERAULT,Red Hat Enterprise 5.11,UO,V,192.168.20.7 / 192.168.10.7,,GRABELS G2
HESIONE,Windows 2008 R2 x64 STD,UO,V,10.1.32.124,15.1.70.159,GRABELS G2
HOKKAIDO,Red Hat Enterprise 7.4,HUO,V,10.2.32.41,15.1.70.238,GRABELS G2
HOUILLE,Red Hat Enterprise 6.8,HUO,V,10.0.32.155,,GRABELS G2
HOYOUX,Windows 2008 R2 x64 STD,HUO,V,10.0.32.126,,MOP B4
HUECAR,Red Hat Enterprise 5.11,UO,V,10.0.32.218,15.1.53.233,MOP B4
HUNTER,Red Hat Enterprise 6.8,HUO,V,10.2.32.25,15.1.70.221,GRABELS G2
HYAS,Windows 2008 R2 x64 STD,UO,V,10.1.32.126,15.1.70.160,MOP B4
IBAIZABAL,Red Hat Enterprise 7.4,UO,V,10.2.32.140,15.1.53.85,GRABELS G2
ICHAMATI,Red Hat Enterprise 7.2,HUO,V,10.2.32.14,15.1.53.20,GRABELS G2
IN-BSI-01,Red Hat Enterprise 7,UO,V,10.1.32.32 / 127.0.0.1,,MOP B4
IN-CTSMS-01,Red Hat Enterprise 7,HUO,V,10.2.32.24,,GRABELS G2
IN-PCV-02,Red Hat Enterprise 5.11,HUO,V,10.1.32.14,,MOP B4
IRACOUBO,Red Hat Enterprise 7,HUO,V,10.2.32.166,,MOP B4
IREGUA,Red Hat Enterprise 7.4,UO,V,10.2.32.131,15.1.53.90,MOP B4
JANDULA,Windows 2008 R2 x64 STD,HUO,V,10.2.32.51,15.1.70.227,GRABELS G2
JOGNE,Red Hat Enterprise 7,HUO,V,10.2.32.102,,GRABELS G2
KANTO,Windows 2008 R2 x64 STD,UO,V,10.0.32.209,,GRABELS G2
KAPILI,Red Hat Enterprise 6.7,HUO,V,10.0.32.73,15.1.70.12,MOP B4
KAVIK,Red Hat Enterprise 6.8,HUO,V,10.2.32.8,15.1.70.223,MOP B4
KETIK,Red Hat Enterprise 6.8,UO,V,10.1.32.27,15.1.70.43,MOP B4
KILIGWA,Windows 2008 R2 x64 STD,UO,V,10.0.32.62,15.1.70.237,GRABELS G2
KILLIK,Windows 2008 R2 x64 STD,UO,V,10.1.32.10,15.1.70.59,GRABELS G2
KIRNECK,Red Hat Enterprise 7.2,HUO,V,10.1.32.26,15.1.53.69,MOP B4
KITAKAMI,Red Hat Enterprise 7.4,UO,V,10.1.32.120,15.1.53.191,MOP B4
KLODNICA,Red Hat Enterprise 6.9,UO,V,10.1.32.64,15.1.53.246,GRABELS G2
KOBUK,Red Hat Enterprise 6.8,UO,V,10.1.32.28,15.1.70.44,MOP B4
KOKOLIK,Red Hat Enterprise 6.8,HUO,V,10.2.32.9,15.1.70.224,MOP B4
KOLONG,Windows 2012 R2 x64 STD,UO,V,10.1.32.141,15.1.53.3,MOP B4
KOUROU,Red Hat Enterprise 7,UO,V,10.1.32.98,15.1.53.250,GRABELS G2
KUGARAK,Power KVM,UO,P,10.1.32.168,15.1.53.198,G11A11D09U19
KUGRUK,Red Hat Enterprise 6.9.0.4,UO,V,10.1.32.29,15.1.70.45,GRABELS G2
KUPARUK,Red Hat Enterprise 6.8,HUO,V,10.2.32.38,15.1.70.232,GRABELS G2
KUROWKA,Red Hat Enterprise 6.8,HUO,V,10.2.32.39,15.1.70.54,GRABELS G2
KURUPA,Windows 2008 R2 x64 STD,UO,V,10.4.32.4,15.1.53.24,EUREKA
KYUSHU,Windows 2012 R2 x64 STD,HUO,V,10.2.32.42,15.1.70.239,GRABELS G2
LAIRE,Windows 2008 R2 x64 STD,UO,V,10.4.32.55,15.1.70.161,EUREKA
LANDQUART,Red Hat Enterprise 5.11,UO,V,10.0.32.11,15.1.70.97,MOP B4
LANGISJOR,Windows 2012 R2 x64 STD,HUO,V,10.0.32.206,15.1.53.181,GRABELS G2
LAUGARVAT,Windows 2008 R2 x64 STD,UO,V,10.1.32.11,15.1.53.222,GRABELS G2
LEGUER,Red Hat Enterprise 5.11,HUO,P,10.2.32.122,15.1.53.93,B49A07D07U32
LESSE,Windows 2008 R2 x64 STD,UO,V,10.4.32.62,15.1.53.23,EUREKA
LIBRON,Red Hat Enterprise 7,UO,V,10.1.32.45,15.1.70.141,MOP B4
LIMAY,Red Hat Enterprise 6.8,HUO,V,10.1.32.31,15.1.70.150,MOP B4
LOGAN,Red Hat Enterprise 7.3,HUO,V,10.2.32.26,15.1.70.222,MOP B4
LONZA,Red Hat Enterprise 7,HUO,V,10.2.32.155,,GRABELS G2
LOSENTSE,Red Hat Enterprise 7.2,HUO,V,10.2.32.192,,MOP B4
LOUKKOS,Windows 2008 R2 x64 STD,UO,V,10.1.32.119,15.1.53.96,MOP B4
MACTA,Red Hat Enterprise 6.9,HUO,V,10.2.32.71,15.1.70.135,MOP B4
MANDOVI,Red Hat Enterprise 6.9,UO,V,10.1.32.21,15.1.53.239,MOP B4
MANINGOZA,Red Hat Enterprise 6.8,HUO,V,10.2.32.31,,MOP B4
MANJIRA,Red Hat Enterprise 6.7,UO,V,10.1.32.22,15.1.53.240,MOP B4
MANZANARES,Windows 2008 R2 x32 STD,HUO,V,10.2.32.156,,MOP B4
MARKHA,Red Hat Enterprise 7.4,HUO,V,10.0.32.156,15.1.70.164,MOP B4
MAULDRE,Red Hat Enterprise 6.7,HUO,V,10.2.32.95 / 172.17.42.1,,MOP B4
MAZAFRAN,Red Hat Enterprise 6.8,HUO,V,10.2.32.30,,MOP B4
MEGHNA,Red Hat Enterprise 7.4,HUO,V,10.0.32.157,15.1.70.158,GRABELS G2
