hostname,os,scope,type,ip,nat,datastore
SORGUE,Windows 2012 R2 x64 STD,HUO,V,10.1.32.97,15.1.53.249,MOP B4
SOUCHON,Red Hat Enterprise 7,UO,P,10.0.32.236,,B49A08D07U10
SOULOISE,Red Hat Enterprise 7.4 ,HUO,V,10.2.32.119,15.1.53.16,GRABELS G2
SOUMMAM,Red Hat Enterprise 6.9,HUO,V,10.2.32.20,,GRABELS G2
SQUAMISH,Red Hat Enterprise 6.8,HUO,V,10.2.32.35,,GRABELS G2
SUIPPE,Windows 2012 R2 x64 STD,UO,V,10.0.32.131,15.1.70.117,GRABELS G2
SURAN ,Windows 2012 R2 x64 STD,HUO,V,10.1.32.43,15.1.70.83,GRABELS G2
TALPONA,A VÉRIFIER,HUO,V,192.168.10.11,15.1.53.244,GRABELS G2
TAMISE,Red Hat Enterprise 5.11,UO,V,10.1.32.56,15.1.70.85,MOP B4
TAPTI,Red Hat Enterprise 7.2,HUO,V,10.2.32.11,15.1.70.105,GRABEPS G2
TIGRE,Red Hat Enterprise 5,HUO,V,10.2.32.2,15.1.70.57,MOP B4
TIRSO,Windows 2008 R2 x64 STD,UO,V,10.0.32.135,15.1.70.35,MOP B4
TOCANTINS,Windows 2008 R2 x64 STD,UO,V,10.1.32.57,15.1.70.149,MOP B4
TOULOUBRE,Red Hat Enterprise 7,UO,V,10.0.32.101,15.1.70.39,GRABELS G2
TOUVRE,Red Hat Enterprise 6.8,HUO,V,10.2.32.5,,MOP B4
TRESA,Red Hat Enterprise 6.8,HUO,P,10.1.32.196,15.1.70.229,G11A11D09U15
TRIENT,Red Hat Enterprise 6.8,UO,V,10.1.32.153 / 10.1.32.150,,GRABELS G2
TURTMANNA,Red Hat Enterprise 5.11,HUO,V,10.2.32.130,,GRABELS G2
UERKE,Red Hat Enterprise 6.9,HUO,V,10.2.32.96,15.1.53.91,MOP B4
UNTXIN,Red Hat Enterprise 7,HUO,V,10.2.32.132,,MOP B4
URUGUAY,Red Hat Enterprise 7,HUO,V,10.2.32.74 / 10.2.32.73,,MOP B4
USKULUP,Red Hat Enterprise 7,HUO,V,10.0.32.27,15.1.53.49,MOP B4
USLAVA,Red Hat Enterprise 7,HUO,V,10.0.32.25,15.1.70.103,GRABELS G2
UTRECHT,Red Hat Enterprise 7,HUO,V,10.0.32.26,15.1.53.48,GRABELS G2
UZANDI,Red Hat Enterprise 7,HUO,V,10.0.32.28,15.1.53.50,GRABELS G2
VAIGAI,Red Hat Enterprise 5.8,HUO,V,192.168.10.8 / 192.168.20.9,,GRABELS G2
VAITARNA,Red Hat Enterprise 7,UO,V,10.0.32.41,15.1.53.121,GRABELS G2
VANERA,Red Hat Enterprise 7.4,UO,P,10.1.32.137 / 10.1.32.136,,G11A11D09U16
VARADA ,Power KVM,UO,P,10.1.32.170,15.1.53.199,B49A08D10U21
VEFSNA,Red Hat Enterprise 7.3,UO,V,10.0.32.65,15.1.70.234,MOP B4
VENOGE,Red Hat Enterprise 6.8,HUO,V,10.2.32.6,,GRABELS G2
VERMILLON,Red Hat Enterprise 7,HUO,V,10.1.32.199,15.1.53.114,GRABELS G2
VEVEYSE,Red Hat Enterprise 7,HUO,V,10.1.32.200,15.1.53.113,MOP B4
VIEZE,Red Hat Enterprise 6.9,UO,V,10.1.32.65,15.1.53.247,GRABELS G2
VISKAN,Red Hat Enterprise 7.3,UO,V,10.0.32.66,15.1.70.235,GRABELS G2
VISPA,Red Hat Enterprise 6.8,UO,V,10.1.32.152 / 10.1.32.151,,MOP B4
VOLGA,Red Hat Enterprise 7,HUO,V,10.2.32.81,,GRABELS G2
VOLTURNO,Red Hat Enterprise 5.11,UO,P,10.1.32.148 / 10.1.32.149,,G11A11D09U17
VOXNAN,Red Hat Enterprise 7.3,UO,V,10.0.32.67,15.1.70.236,GRABELS G2
WAITAKI,Red Hat Enterprise 6.8,HUO,V,10.2.32.32,,MOP B4
WIMEREUX,Red Hat Enterprise 5.11,UO,V,10.0.32.51,15.1.70.111,MOP B4
YALOU,Red Hat Enterprise 7.1,UO,V,10.1.32.231,15.1.53.228,MOP
YANGZI,Red Hat Enterprise 7.1,UO,V,10.1.32.232,15.1.53.242,MOP
YAPOLA,Red Hat Enterprise 7.1,UO,V,10.1.32.233,15.1.53.203,MOP
YARKAND,Red Hat Enterprise 7.1,UO,V,10.1.32.234,15.1.53.70,MOP
YELLOWKNIFE,Red Hat Enterprise 6.9,HUO,V,10.2.32.162,15.1.53.83,MOP B4
YERES,Red Hat Enterprise 7.4,UO,P,10.1.32.66 / 10.1.32.67,,B49A08D05U11
YUKON,Red Hat Enterprise 5.11,HUO,V,10.0.32.99,,MOP B4
ZAMBEZE,Red Hat Enterprise 7.3,HUO,V,10.2.32.163,,MOP B4
YARRAK,Red Hat Enterprise 7.3,UO,V,10.234.4657.32,,
ZINDIK,SIKIS,UO,V,99.99.99.99,,
ZANSKAR,Red Hat Enterprise 7.3,HUO,V,10.2.32.164,15.1.70.22,GRABELS G2
